// JobID,Weight,HPFactor,HPMultiplicator,SPFactor,Unarmed,Dagger,1HSword,2HSword,1HSpear,2HSpear,1HAxe,2HAxe,1HMace,2HMace(unused),Rod,Bow,Knuckle,Instrument,Whip,Book,Katar,Revolver,Rifle,Gatling Gun,Shotgun,Grenade Launcher,Fuuma Shuriken,2HStaff,Shield
24,28000,90,650,469,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
25,26000,75,500,540,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4001,20000,0,500,100,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4002,28000,70,500,200,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4003,22000,30,500,600,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4004,26000,50,500,200,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4005,24000,40,500,500,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4006,28000,40,500,300,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4007,24000,50,500,200,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4008,28000,150,500,300,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4009,26000,75,500,800,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4010,24000,55,500,900,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4011,30000,90,500,400,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4012,27000,85,500,400,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4013,24000,110,500,400,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4014,28000,150,500,300,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4015,28000,110,700,470,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4016,26000,90,650,470,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4017,24000,75,500,700,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4018,24000,85,500,500,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4019,30000,90,500,400,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4020,27000,75,300,600,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4021,27000,75,300,600,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4022,28000,110,700,470,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4023,20000,0,500,100,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4024,28000,70,500,200,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4025,22000,30,500,600,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4026,26000,50,500,200,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4027,24000,40,500,500,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4028,28000,40,500,300,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4029,24000,50,500,200,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4030,28000,150,500,300,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4031,26000,75,500,800,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4032,24000,55,500,900,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4033,30000,90,500,400,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4034,27000,85,500,400,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4035,24000,110,500,400,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4036,28000,150,500,300,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4037,28000,110,700,470,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4038,26000,90,650,470,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4039,24000,75,500,700,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4040,24000,85,500,500,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4041,30000,90,500,400,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4042,27000,75,300,600,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4043,27000,75,300,600,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4044,28000,110,700,470,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4045,20000,0,500,100,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4046,28000,70,500,200,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4047,28000,90,650,470,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4048,28000,90,650,470,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4049,24000,75,500,900,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4050,24000,65,500,300,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4051,28000,150,500,300,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4052,24000,75,500,700,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4054,35000,150,500,300,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4055,30000,55,500,900,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4056,32000,85,500,400,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4057,30000,75,500,800,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4058,38000,90,500,400,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4059,32000,110,500,400,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4060,35000,150,500,300,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4061,30000,55,500,900,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4062,32000,85,500,400,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4063,30000,75,500,800,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4064,38000,90,500,400,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4065,32000,110,500,400,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4066,35000,110,700,400,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4067,30000,75,500,900,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4068,32000,75,300,400,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4069,32000,75,300,400,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4070,30000,90,650,400,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4071,32000,90,500,900,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4072,28000,85,500,400,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4073,35000,110,700,400,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4074,30000,75,500,900,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4075,32000,75,300,400,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4076,32000,75,300,400,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4077,30000,90,650,400,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4078,32000,90,500,900,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4079,28000,85,500,400,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4080,35000,150,500,300,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4081,35000,150,500,300,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4082,35000,110,700,400,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4083,35000,110,700,400,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4084,32000,85,500,400,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4085,32000,85,500,400,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4086,38000,90,500,400,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4087,38000,90,500,400,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4096,28000,150,500,300,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4097,24000,55,500,900,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4098,27000,85,500,400,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4099,26000,75,500,800,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4100,30000,90,500,400,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4101,24000,110,500,400,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4102,28000,110,700,400,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4103,24000,75,500,900,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4104,27000,75,300,400,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4105,27000,75,300,400,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4106,26000,90,650,400,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4107,30000,90,500,900,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4108,24000,85,500,400,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4109,28000,150,500,300,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4110,28000,110,700,400,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4111,27000,85,500,400,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4112,30000,90,500,400,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4190,20000,0,5000,500,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4191,20000,0,500,100,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4211,26000,75,500,540,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4212,26000,75,500,540,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4215,28000,90,650,469,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4218,20000,70,500,500,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4220,20000,100,700,200,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4222,26000,75,500,540,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4223,26000,75,500,540,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4224,26000,75,500,540,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4225,28000,70,500,200,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4226,28000,90,650,470,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4227,24000,75,500,900,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4228,28000,90,650,469,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4229,28000,90,650,469,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4238,28000,90,650,470,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4239,28000,90,650,470,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4240,24000,75,500,900,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4241,28000,90,650,470,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4242,24000,75,500,900,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4243,28000,90,650,470,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
4244,28000,90,650,470,40,50,70,60,75,70,70,65,65,60,75,65,45,70,55,80,50,60,80,90,70,100,70,65,10
